Question,Question ID,Question description,Data Type,Parent Question
Revealed by a high god:,4733,,Nominal,Is there a story (or a set of stories) associated with the origin of scripture:
Revealed by other supernatural being:,4734,,Nominal,Is there a story (or a set of stories) associated with the origin of scripture:
Inspired by high god:,4735,,Nominal,Is there a story (or a set of stories) associated with the origin of scripture:
Inspired by other supernatural being:,4736,,Nominal,Is there a story (or a set of stories) associated with the origin of scripture:
Originated from divine or semi-divine human beings:,4737,,Nominal,Is there a story (or a set of stories) associated with the origin of scripture:
Originated from non-divine human being:,4738,,Nominal,Is there a story (or a set of stories) associated with the origin of scripture:
Are the scriptures alterable:,4739,,Nominal,Does the religious group have scriptures:
Are there formal institutions (i.e. institutions that are authorized by the religious community or political leaders) for interpreting the scriptures:,4740,,Nominal,Does the religious group have scriptures:
Can interpretation also take place outside these institutions:,4741,,Nominal,Are there formal institutions (i.e. institutions that are authorized by the religious community or political leaders) for interpreting the scriptures:
Interpretation is only allowed by officially sanctioned figures:,4742,,Nominal,Are there formal institutions (i.e. institutions that are authorized by the religious community or political leaders) for interpreting the scriptures:
Is there a select group of people trained in transmitting the scriptures:,4743,,Nominal,Does the religious group have scriptures:
Is there a codified canon of scriptures:,4744,,Nominal,Does the religious group have scriptures:
Is monumental religious architecture present:,4745,,Nominal,
"In the average settlement, what percentage of area is taken up by all religious monuments:",4746,,Continuous,Is monumental religious architecture present:
"Size of largest single religious monument, square meters:",4747,,Continuous,Is monumental religious architecture present:
"Height of largest single religious monument, meters:",4748,,Continuous,Is monumental religious architecture present:
"Size of average monument, square meters:",4749,,Continuous,Is monumental religious architecture present:
"Height of average monument, meters:",4750,,Continuous,Is monumental religious architecture present:
"In the largest settlement, what percentage of area is taken up by all religious monuments:",4751,,Continuous,Is monumental religious architecture present:
Are there different types of religious monumental architecture:,4752,,Nominal,
Tombs:,4753,,Nominal,Are there different types of religious monumental architecture:
Cemeteries:,4754,,Nominal,Are there different types of religious monumental architecture:
Temples:,4755,,Nominal,Are there different types of religious monumental architecture:
Altars:,4756,,Nominal,Are there different types of religious monumental architecture:
Devotional markers:,4757,,Nominal,Are there different types of religious monumental architecture:
"Mass gathering point [plazas, courtyard, square. Places permanently demarcated using visible objects or structures]:",4758,,Nominal,Are there different types of religious monumental architecture:
Other type of religious monumental architecture:,4759,,Nominal,Are there different types of religious monumental architecture:
Is iconography present:,4764,,Nominal,
Where is iconography present [select all that apply]:,4765,,Nominal - Multiple,Is iconography present:
Are there distinct features in the religious group's iconography:,4766,,Nominal,Is iconography present:
Eyes (stylized or not):,4767,,Nominal,Are there distinct features in the religious group's iconography:
Supernatural beings (zoomorphic):,4768,,Nominal,Are there distinct features in the religious group's iconography:
Supernatural beings (geomorphic):,4769,,Nominal,Are there distinct features in the religious group's iconography:
Supernatural beings (anthropomorphic):,4770,,Nominal,Are there distinct features in the religious group's iconography:
Supernatural beings (abstract symbol):,4771,,Nominal,Are there distinct features in the religious group's iconography:
Portrayals of afterlife:,4772,,Nominal,Are there distinct features in the religious group's iconography:
"Aspects of doctrine (e.g. cross, trinity, Mithraic symbols):",4773,,Nominal,Are there distinct features in the religious group's iconography:
Humans:,4774,,Nominal,Are there distinct features in the religious group's iconography:
Other features of iconography:,4775,,Nominal,Are there distinct features in the religious group's iconography:
Are there specific sites dedicated to sacred practice or considered sacred:,4760,,Nominal,
Are sacred site oriented to environmental features:,4761,"""Environmental features"" refers to features in the landscape, mountains, rivers, cardinal directions etc...",Nominal,Are there specific sites dedicated to sacred practice or considered sacred:
Are pilgrimages present:,4762,,Nominal,
How strict is pilgrimage:,4763,,Nominal - Other,Are pilgrimages present:
Is a spirit-body distinction present:,4776,"Answer “no” only if personhood (or consciousness) is extinguished with death of the physical body. Answering yes does not necessarily imply the existence of Cartesian mind/body dualism, merely that some element of personhood (or consciousness) survives the death of the body.",Nominal,
Spirit-mind is conceived of as having qualitatively different powers or properties than other body parts:,4777,,Nominal,Is a spirit-body distinction present:
"Spirit-mind is conceived of as non-material, ontologically distinct from body:",4778,,Nominal,Is a spirit-body distinction present:
Other spirit-body relationship:,4779,,Nominal,Is a spirit-body distinction present:
Belief in afterlife:,4780,,Nominal,
Is the spatial location of the afterlife specified or described by the religious group:,4781,,Nominal,Belief in afterlife:
Afterlife in specified realm of space beyond this world:,4782,,Nominal,Is the spatial location of the afterlife specified or described by the religious group:
Afterlife in vaguely defined “above” space:,4783,,Nominal,Is the spatial location of the afterlife specified or described by the religious group:
Afterlife in vaguely defined “below” space:,4784,,Nominal,Is the spatial location of the afterlife specified or described by the religious group:
Afterlife in vaguely defined horizontal space:,4785,,Nominal,Is the spatial location of the afterlife specified or described by the religious group:
"Afterlife located in ""other"" space:",4786,,Nominal,Is the spatial location of the afterlife specified or described by the religious group:
Reincarnation in this world:,4787,,Nominal,
In a human form:,4788,,Nominal,Reincarnation in this world:
In animal/plant form:,4789,,Nominal,Reincarnation in this world:
In form of an inanimate object(s):,4790,,Nominal,Reincarnation in this world:
"In non-individual form (i.e. some form of corporate rebirth, tribe, lineage. etc.):",4791,,Nominal,Reincarnation in this world:
Reincarnation linked to notion of life-transcending causality (e.g. karma):,4792,,Nominal,Reincarnation in this world:
Other form of reincarnation in this world:,4793,,Nominal,Reincarnation in this world:
Are there special treatments for adherents' corpses:,4794,,Nominal,
Cremation:,4795,,Nominal,Are there special treatments for adherents' corpses:
Mummification:,4796,,Nominal,Are there special treatments for adherents' corpses:
Interment:,4797,,Nominal,Are there special treatments for adherents' corpses:
Corpse is flexed (legs are bent or body is crouched):,4798,,Nominal,Interment:
Corpse is extended (lying flat on front or back):,4799,,Nominal,Interment:
Corpse is upright (where body is interred in standing position):,4800,,Nominal,Interment:
Corpse is interred some other way:,4801,,Nominal,Interment:
Cannibalism:,4802,,Nominal,Are there special treatments for adherents' corpses:
Exposure to elements (e.g. air drying):,4803,,Nominal,Are there special treatments for adherents' corpses:
Feeding to animals:,4804,,Nominal,Are there special treatments for adherents' corpses:
Secondary burial:,4805,,Nominal,Are there special treatments for adherents' corpses:
Re-treatment of corpse:,4806,,Nominal,Are there special treatments for adherents' corpses:
Other intensive (in terms of time or resources expended) treatment of corpse :,4807,,Nominal,Are there special treatments for adherents' corpses:
Are co-sacrifices present in tomb/burial:,4808,,Nominal,
Human sacrifices present:,4809,,Nominal,Are co-sacrifices present in tomb/burial:
Out-group humans are sacrificed:,4810,,Nominal,Human sacrifices present:
In-group humans are sacrificed:,4811,,Nominal,Human sacrifices present:
Other humans are sacrificed:,4812,,Nominal,Human sacrifices present:
Animal co-sacrifices present:,4813,,Nominal,Are co-sacrifices present in tomb/burial:
Are grave goods present:,4814,,Nominal,
Personal effects:,4815,,Nominal,Are grave goods present:
Valuable items:,4816,,Nominal,Are grave goods present:
"Significant wealth (e.g. gold, jade, intensely worked objects):",4817,,Nominal,Valuable items:
Some wealth (some valuable or useful objects interred):,4818,,Nominal,Valuable items:
Other valuable/precious items interred:,4819,,Nominal,Valuable items:
Other grave goods:,4820,,Nominal,Are grave goods present:
Are formal burials present:,4821,,Nominal,
As cenotaphs:,4822,,Nominal,Are formal burials present:
In cemetery:,4823,,Nominal,Are formal burials present:
Family tomb-crypt:,4824,,Nominal,Are formal burials present:
"Domestic (individuals interred beneath house, or in areas used for normal domestic activities):",4825,,Nominal,Are formal burials present:
Other formal burial type:,4826,,Nominal,Are formal burials present:
Are supernatural beings present:,4827,,Nominal,
A supreme high god is present:,4828,,Nominal,Are supernatural beings present:
The supreme high god is anthropomorphic:,4829,,Nominal,A supreme high god is present:
The supreme high god is a sky deity:,4830,,Nominal,A supreme high god is present:
The supreme high god is chthonic (of the underworld):,4831,,Nominal,A supreme high god is present:
The supreme high god is fused with the monarch (king=high god):,4832,,Nominal,A supreme high god is present:
The monarch is seen as a manifestation or emanation of the high god:,4833,,Nominal,A supreme high god is present:
The supreme high god is a kin relation to elites:,4834,,Nominal,A supreme high god is present:
The supreme high god has another type of loyalty-connection to elites:,4835,,Nominal,A supreme high god is present:
The supreme high god is unquestionably good:,4836,,Nominal,A supreme high god is present:
Other feature(s) of supreme high god:,4837,,Nominal,A supreme high god is present:
The supreme high god has knowledge of this world:,4838,,Nominal,A supreme high god is present:
The supreme god's knowledge is restricted to particular domain of human affairs:,4839,,Nominal,The supreme high god has knowledge of this world:
The supreme high god's knowledge is restricted to (a) specific area(s) within the sample region:,4840,,Nominal,The supreme high god has knowledge of this world:
The supreme high god's knowledge is unrestricted within the sample region:,4841,,Nominal,The supreme high god has knowledge of this world:
The supreme high god's knowledge is unrestricted outside of sample region:,4842,,Nominal,The supreme high god has knowledge of this world:
The supreme high god can see you everywhere normally visible (in public):,4843,,Nominal,The supreme high god has knowledge of this world:
"The supreme high god can see you everywhere (in the dark, at home):",4844,,Nominal,The supreme high god has knowledge of this world:
The supreme high god can see inside heart/mind (hidden motives):,4845,,Nominal,The supreme high god has knowledge of this world:
The supreme high god knows your basic character (personal essence):,4846,,Nominal,The supreme high god has knowledge of this world:
"The supreme high god knows what will happen to you, what you will do (future sight):",4847,,Nominal,The supreme high god has knowledge of this world:
The supreme high god has other knowledge of this world:,4848,,Nominal,The supreme high god has knowledge of this world:
The supreme high god has deliberate causal efficacy in the world:,4849,,Nominal,A supreme high god is present:
The supreme high god can reward:,4850,,Nominal,The supreme high god has deliberate causal efficacy in the world:
The supreme high god can punish:,4851,,Nominal,The supreme high god has deliberate causal efficacy in the world:
The supreme high god has indirect causal efficacy in the world:,4852,,Nominal,A supreme high god is present:
The supreme high god exhibits positive emotion:,4853,,Nominal,A supreme high god is present:
The supreme high god exhibits negative emotion:,4854,,Nominal,A supreme high god is present:
The supreme high god possesses hunger:,4855,,Nominal,A supreme high god is present:
Is it permissible to worship supernatural beings other than the high god:,4856,,Nominal,A supreme high god is present:
The supreme high god possesses/exhibits some other feature:,4857,,Nominal,A supreme high god is present:
The supreme high god communicates with the living:,4858,,Nominal,A supreme high god is present:
"In waking, everyday life:",4859,,Nominal,The supreme high god communicates with the living:
In dreams:,4860,,Nominal,The supreme high god communicates with the living:
In trance possession:,4861,,Nominal,The supreme high god communicates with the living:
Through divination practices:,4862,,Nominal,The supreme high god communicates with the living:
Only through religious specialists:,4863,,Nominal,The supreme high god communicates with the living:
Only through monarch,4864,,Nominal,The supreme high god communicates with the living:
Other form of communication with living:,4865,,Nominal,The supreme high god communicates with the living:
Previously human spirits are present:,4866,,Nominal,Are supernatural beings present:
Human spirits can be seen:,4867,,Nominal,Previously human spirits are present:
Human spirits can be physically felt:,4868,,Nominal,Previously human spirits are present:
Previously human spirits have knowledge of this world:,4869,,Nominal,Previously human spirits are present:
Human spirits' knowledge restricted to particular domain of human affairs:,4870,,Nominal,Previously human spirits have knowledge of this world:
Human spirits' knowledge restricted to (a) specific area(s) within the sample region:,4871,,Nominal,Previously human spirits have knowledge of this world:
Human spirits' knowledge unrestricted within the sample region:,4872,,Nominal,Previously human spirits have knowledge of this world:
Human spirits' knowledge unrestricted outside of sample region:,4873,,Nominal,Previously human spirits have knowledge of this world:
Human spirits can see you everywhere normally visible (in public):,4874,,Nominal,Previously human spirits have knowledge of this world:
"Human spirits can see you everywhere (in the dark, at home):",4875,,Nominal,Previously human spirits have knowledge of this world:
Human spirit's can see inside heart/mind (hidden motives):,4876,,Nominal,Previously human spirits have knowledge of this world:
Human spirits know your basic character (personal essence):,4877,,Nominal,Previously human spirits have knowledge of this world:
"Human spirits know what will happen to you, what you will do (future sight):",4878,,Nominal,Previously human spirits have knowledge of this world:
Human spirits have other form(s) of knowledge regarding this world:,4879,,Nominal,Previously human spirits have knowledge of this world:
Human spirits have deliberate causal efficacy in the world:,4880,,Nominal,Previously human spirits are present:
Human spirits can reward:,4881,,Nominal,Human spirits have deliberate causal efficacy in the world:
Human spirits can punish:,4882,,Nominal,Human spirits have deliberate causal efficacy in the world:
Human spirits have indirect causal efficacy in the world:,4883,,Nominal,Previously human spirits are present:
Human spirits have memory of life:,4884,,Nominal,Previously human spirits are present:
Human spirits exhibit positive emotion:,4885,,Nominal,Previously human spirits are present:
Human spirits exhibit negative emotion:,4886,,Nominal,Previously human spirits are present:
Human spirits possess hunger:,4887,,Nominal,Previously human spirits are present:
Human spirits possess/exhibit some other feature:,4888,,Nominal,Previously human spirits are present:
Human spirits communicate with the living:,4889,,Nominal,Previously human spirits are present:
"In waking, everyday life:",4890,,Nominal,Human spirits communicate with the living:
In dreams:,4891,,Nominal,Human spirits communicate with the living:
In trance possession:,4892,,Nominal,Human spirits communicate with the living:
Through divination processes:,4893,,Nominal,Human spirits communicate with the living:
Only through specialists:,4894,,Nominal,Human spirits communicate with the living:
Only through monarch:,4895,,Nominal,Human spirits communicate with the living:
Communicate with living through other means:,4896,,Nominal,Human spirits communicate with the living:
Non-human supernatural beings are present:,4897,,Nominal,Are supernatural beings present:
These supernatural beings can be seen:,4898,,Nominal,Non-human supernatural beings are present:
These supernatural beings can be physically felt:,4899,,Nominal,Non-human supernatural beings are present:
Non-human supernatural beings have knowledge of this world:,4900,,Nominal,Non-human supernatural beings are present:
Non-human supernatural beings have knowledge restricted to particular domain of human affairs:,4901,,Nominal,Non-human supernatural beings have knowledge of this world:
Non-human supernatural beings have knowledge restricted to (a) specific area(s) within the sample region:,4902,,Nominal,Non-human supernatural beings have knowledge of this world:
Non-human supernatural beings have knowledge unrestricted within the sample region:,4903,,Nominal,Non-human supernatural beings have knowledge of this world:
Non-human supernatural beings have knowledge unrestricted outside of sample region:,4904,,Nominal,Non-human supernatural beings have knowledge of this world:
Non-human supernatural beings have can see you everywhere normally visible (in public):,4905,,Nominal,Non-human supernatural beings have knowledge of this world:
"Non-human supernatural beings can see you everywhere (in the dark, at home):",4906,,Nominal,Non-human supernatural beings have knowledge of this world:
Non-human supernatural beings can see inside heart/mind (hidden motives):,4907,,Nominal,Non-human supernatural beings have knowledge of this world:
Non-human supernatural beings knows your basic character (personal essence):,4908,,Nominal,Non-human supernatural beings have knowledge of this world:
"Non-human supernatural beings know what will happen to you, what you will do (future sight):",4909,,Nominal,Non-human supernatural beings have knowledge of this world:
Non-human supernatural begins have other knowledge of this world:,4910,,Nominal,Non-human supernatural beings have knowledge of this world:
Non-human supernatural beings have deliberate causal efficacy in the world:,4911,,Nominal,Non-human supernatural beings are present:
These supernatural beings can reward:,4912,,Nominal,Non-human supernatural beings have deliberate causal efficacy in the world:
These supernatural beings can punish:,4913,,Nominal,Non-human supernatural beings have deliberate causal efficacy in the world:
These supernatural beings have indirect causal efficacy in the world:,4914,,Nominal,Non-human supernatural beings are present:
These supernatural beings exhibit positive emotion:,4915,,Nominal,Non-human supernatural beings are present:
These supernatural beings exhibit negative emotion:,4916,,Nominal,Non-human supernatural beings are present:
These supernatural beings possess hunger:,4917,,Nominal,Non-human supernatural beings are present:
These supernatural beings possess/exhibit some other feature:,4918,,Nominal,Non-human supernatural beings are present:
Mixed human-divine beings are present:,4919,,Nominal,Are supernatural beings present:
These mixed human-divine beings can be seen:,4920,,Nominal,Mixed human-divine beings are present:
These mixed human-divine beings can be physically felt:,4921,,Nominal,Mixed human-divine beings are present:
Mixed human-divine beings have knowledge of this world:,4922,,Nominal,Mixed human-divine beings are present:
Mixed human-divine beings have knowledge restricted to particular domain of human affairs:,4923,,Nominal,Mixed human-divine beings have knowledge of this world:
Mixed human-divine beings have knowledge restricted to (a) specific area(s) within the sample region:,4924,,Nominal,Mixed human-divine beings have knowledge of this world:
Mixed human-divine beings have knowledge unrestricted within the sample region:,4925,,Nominal,Mixed human-divine beings have knowledge of this world:
Mixed human-divine beings have knowledge unrestricted outside of sample region:,4926,,Nominal,Mixed human-divine beings have knowledge of this world:
Mixed human-divine beings can see you everywhere normally visible (in public):,4927,,Nominal,Mixed human-divine beings have knowledge of this world:
"Mixed human-divine beings can see you everywhere (in the dark, at home):",4928,,Nominal,Mixed human-divine beings have knowledge of this world:
Mixed human-divine beings can see inside heart/mind (hidden motives):,4929,,Nominal,Mixed human-divine beings have knowledge of this world:
Mixed human-divine beings know your basic character (personal essence):,4930,,Nominal,Mixed human-divine beings have knowledge of this world:
"Mixed human-divine beings know what will happen to you, what you will do (future sight):",4931,,Nominal,Mixed human-divine beings have knowledge of this world:
Mixed human-divine beings have other knowledge of the human world:,4932,,Nominal,Mixed human-divine beings have knowledge of this world:
These mixed human-divine beings have deliberate causal efficacy in the world:,4933,,Nominal,Mixed human-divine beings are present:
These mixed human-divine beings can reward:,4934,,Nominal,These mixed human-divine beings have deliberate causal efficacy in the world:
These mixed human-divine beings can punish:,4935,,Nominal,These mixed human-divine beings have deliberate causal efficacy in the world:
These mixed human-divine beings have indirect causal efficacy in the world:,4936,,Nominal,Mixed human-divine beings are present:
These mixed human-divine beings exhibit positive emotion:,4937,,Nominal,Mixed human-divine beings are present:
These mixed human-divine beings exhibit negative emotion:,4938,,Nominal,Mixed human-divine beings are present:
These mixed human-divine beings possess hunger:,4939,,Nominal,Mixed human-divine beings are present:
These mixed human-divine beings possess/exhibit some other feature:,4940,,Nominal,Mixed human-divine beings are present:
Mixed human-divine beings communicate with the living:,4941,,Nominal,Mixed human-divine beings are present:
"In waking, everyday life:",4942,,Nominal,Mixed human-divine beings communicate with the living:
In dreams:,4943,,Nominal,Mixed human-divine beings communicate with the living:
In trance possession:,4944,,Nominal,Mixed human-divine beings communicate with the living:
Through divination practices:,4945,,Nominal,Mixed human-divine beings communicate with the living:
Only through religious specialists:,4946,,Nominal,Mixed human-divine beings communicate with the living:
Only through monarch:,4947,,Nominal,Mixed human-divine beings communicate with the living:
Other form of communication with living:,4948,,Nominal,Mixed human-divine beings communicate with the living:
Does the religious group possess a variety of supernatural beings:,4949,,Nominal,Are supernatural beings present:
Organized by kinship based on a family model:,4950,,Nominal,Does the religious group possess a variety of supernatural beings:
Organized hierarchically:,4951,,Nominal,Does the religious group possess a variety of supernatural beings:
Power of beings is domain specific:,4952,,Nominal,Does the religious group possess a variety of supernatural beings:
Other organization for pantheon:,4953,,Nominal,Does the religious group possess a variety of supernatural beings:
Is supernatural monitoring present:,4954,This refers to surveillance by supernatural beings of humans’ behaviour and/or thought particularly as it relates to social norms or potential norm violations.,Nominal,
There is supernatural monitoring of prosocial norm adherence in particular:,4955,"Prosocial norms are norms that enhance cooperation among members of the group, including obviously “moral” or “ethical” norms, but also extending to norms concerning honouring contracts and oaths, providing hospitality, coming to mutual aid in emergencies, etc.",Nominal,Is supernatural monitoring present:
Supernatural beings care about taboos:,4956,,Nominal,Is supernatural monitoring present:
Food:,4957,,Nominal,Supernatural beings care about taboos:
Sacred space(s):,4958,,Nominal,Supernatural beings care about taboos:
Sacred object(s):,4959,,Nominal,Supernatural beings care about taboos:
Supernatural beings care about other:,4960,,Nominal,Supernatural beings care about taboos:
Supernatural beings care about murder of coreligionists:,4961,,Nominal,Is supernatural monitoring present:
Supernatural beings care about murder of members of other religions:,4962,,Nominal,Is supernatural monitoring present:
Supernatural beings care about murder of members of other polities:,4963,,Nominal,Is supernatural monitoring present:
Supernatural beings care about sex:,4964,,Nominal,Is supernatural monitoring present:
Adultery:,4965,,Nominal,Supernatural beings care about sex:
Incest:,4966,,Nominal,Supernatural beings care about sex:
Other sexual practices:,4967,,Nominal,Supernatural beings care about sex:
Supernatural beings care about lying:,4968,,Nominal,Is supernatural monitoring present:
Supernatural beings care about honouring oaths:,4969,,Nominal,Is supernatural monitoring present:
Supernatural beings care about laziness:,4970,,Nominal,Is supernatural monitoring present:
Supernatural beings care about sorcery:,4971,,Nominal,Is supernatural monitoring present:
Supernatural beings care about non-lethal fighting:,4972,,Nominal,Is supernatural monitoring present:
Supernatural beings care about shirking risk:,4973,,Nominal,Is supernatural monitoring present:
Supernatural beings care about disrespecting elders:,4974,,Nominal,Is supernatural monitoring present:
Supernatural beings care about gossiping:,4975,,Nominal,Is supernatural monitoring present:
Supernatural beings care about property crimes:,4976,,Nominal,Is supernatural monitoring present:
Supernatural beings care about proper ritual observance:,4977,,Nominal,Is supernatural monitoring present:
Supernatural beings care about performance of rituals:,4978,,Nominal,Is supernatural monitoring present:
Supernatural beings care about conversion of non-religionists:,4979,,Nominal,Is supernatural monitoring present:
Supernatural beings care about economic fairness:,4980,,Nominal,Is supernatural monitoring present:
Supernatural beings care about personal hygiene:,4981,,Nominal,Is supernatural monitoring present:
Supernatural beings care about other:,4982,,Nominal,Is supernatural monitoring present:
Do supernatural beings mete out punishment:,4983,,Nominal,
Is the cause or agent of supernatural punishment known:,4984,,Nominal,Do supernatural beings mete out punishment:
Done only by high god:,4985,,Nominal,Is the cause or agent of supernatural punishment known:
Done by many supernatural beings:,4986,,Nominal,Is the cause or agent of supernatural punishment known:
Done through impersonal cause-effect principle:,4987,,Nominal,Is the cause or agent of supernatural punishment known:
Done by other entities or through other means [specify],4988,,Nominal,Is the cause or agent of supernatural punishment known:
Is the reason for supernatural punishment known:,4989,,Nominal,Do supernatural beings mete out punishment:
Done to enforce religious ritual-devotional adherence:,4990,,Nominal,Is the reason for supernatural punishment known:
